"","OutsideTemp","Wind","TankTemp","InsideTemp","EnergyCirculationPump","GreenEnergy","DeltaTemp"
"84",2.525,8.75,53.87095952,18.99999319,0.010476533,0,-0.00081596
"85",2.45,8.5,53.6072996,18.99995907,0.008878506,0,-3.41e-05
"86",2.375,8.25,53.61064266,19.00036342,0.007567625,0,0.00040435
"87",2.3,8,53.64298553,19.00009727,0.007407614,0,-0.00026615
"88",2.175,8,53.67723243,18.99978872,0.007329335,0,-0.00030855
"89",2.05,8,53.70185683,19.00055883,0.007371389,0,0.00077011
"90",1.925,8,53.71623224,18.99997901,0.007405949,0,-0.00057982
"91",1.8,8,53.72411831,18.99969913,0.007452692,0,-0.00027988
"92",1.9,8.25,53.73058639,18.99991706,0.007431797,0,0.00021793
"93",2,8.5,53.73741015,18.99961521,0.007427685,0,-0.00030185
"94",2.1,8.75,53.74353699,19.00052367,0.007418656,0,0.00090846
"95",2.2,9,53.74863782,18.99928801,0.007419225,0,-0.00123566
"96",2.2,8.75,53.75282682,18.99982341,0.007413464,0,0.0005354
"97",2.2,8.5,53.75651645,18.99984858,0.007407812,0,2.52e-05
"98",2.2,8.25,53.76001886,19.00052115,0.007396255,0,0.00067257
"99",2.2,8,53.763085,18.99992659,0.007393462,0,-0.00059456
"100",2.125,8,53.87353805,18.89393619,0.005204966,0,-0.1059904
"101",2.05,8,53.95011583,18.75491806,0.005751321,0,-0.13901813
"102",1.975,8,54.00472964,18.75229164,0.005038617,0.025757234,-0.00262642
"103",1.9,8,54.05156159,18.75055956,0.004987328,0.093012809,-0.00173208
"104",1.95,8.25,54.216329,17.73709943,0.002061043,0.163734112,-1.01346013
"105",2,8.5,54.41587256,17.40716738,0.002001305,0.229427087,-0.32993205
"106",2.05,8.75,54.52164213,17.31163971,0.00194501,0.317640253,-0.09552767
"107",2.1,9,54.57985022,17.23634265,0.001890072,0.410626982,-0.07529706
"108",2.25,9.25,54.48142734,17.2262743,0.001834656,0.507055307,-0.01006835
"109",2.4,9.5,54.24998078,17.28994042,0.001790607,0.605417517,0.06366612
"110",2.55,9.75,54.02266748,17.36256254,0.00179134,0.579940519,0.07262212
"111",2.7,10,53.7953724,17.40457523,0.001814464,0.551467362,0.04201269
"112",2.85,9.5,53.5671951,17.42460409,0.001833021,0.520211017,0.02002886
"113",3,9,53.33997954,17.43751402,0.001829009,0.486247915,0.01290993
"114",3.15,8.5,53.11597974,17.44244689,0.00181116,0.422500633,0.00493287
"115",3.3,8,52.89550175,17.42916316,0.00180091,0.33844618,-0.01328373
"116",3.525,8,52.67794201,17.4055616,0.001791778,0.267574036,-0.02360156
"117",3.75,8,52.46317037,17.3724983,0.00178261,0.178871897,-0.0330633
"118",3.975,8,52.25108564,17.34387249,0.001774152,0.156538355,-0.02862581
"119",4.2,8,52.04193546,17.32775192,0.001759687,0.149542615,-0.01612057
"120",4.45,7.75,51.83646923,17.32435417,0.001736856,0.142774886,-0.00339775
"121",4.7,7.5,51.6351851,17.3268666,0.0017118,0.136641595,0.00251243
"122",4.95,7.25,51.43828625,17.33578279,0.001683399,0.141758128,0.00891619
"123",5.2,7,51.24610034,17.35462309,0.001650815,0.162036245,0.0188403
"124",5.25,7,52.12758347,17.36648939,0.001651026,0.169750324,0.0118663
"125",5.3,7,53.3966385,17.37680045,0.001647918,0.178994157,0.01031106
"126",5.35,7,54.0360024,17.38985672,0.001640233,0.174276338,0.01305627
"127",5.4,7,54.3583591,17.40516718,0.001631628,0.174423474,0.01531046
"128",5.45,6.75,53.86751795,19.74052008,0.011874473,0.185061161,2.3353529
"129",5.5,6.5,53.70956957,19.79841852,0.007726518,0.1757903,0.05789844
"130",5.55,6.25,53.71941346,19.7097562,0.007682835,0.152151607,-0.08866232
"131",5.6,6,53.69410185,19.70571895,0.006966411,0.134772302,-0.00403725
"132",5.575,6,53.68283395,19.70716185,0.007241353,0,0.0014429
"133",5.55,6,53.65054454,19.70960159,0.007335882,0,0.00243974
"134",5.525,6,53.6190128,19.70974743,0.007384938,0,0.00014584
"135",3.9,5,53.06209818,19.71894186,0.012372891,0,-0.00091976
"136",3.775,5,53.43894042,19.06001799,0.003780882,0,-0.65892387
"137",3.65,5,53.88510585,18.99987642,0.003790487,0,-0.06014157
"138",3.525,5,54.10839885,19.00001039,0.003649479,0,0.00013397
